brand,original_country,index
Nissan,Japan,3059
MG,China,3060
Toyota,Japan,3061
Toyota,Japan,3062
Honda,Japan,3063
Nissan,Japan,3064
Isuzu,Japan,3065
Mazda,Japan,3066
Ford,USA,3067
Toyota,Japan,3068
MG,China,3069
Honda,Japan,3070
Isuzu,Japan,3071
Mitsubishi,Japan,3072
Ford,USA,3073
Honda,Japan,3074
Mazda,Japan,3075
Mitsubishi,Japan,3076
Ford,USA,3077
MG,China,3078
MG,China,3079
Mitsubishi,Japan,3080
Toyota,Japan,3081
Mazda,Japan,3082
Isuzu,Japan,3083
Honda,Japan,3084
Isuzu,Japan,3085
Honda,Japan,3086
Mitsubishi,Japan,3087
MG,China,3088
MG,China,3089
Ford,USA,3090
Mitsubishi,Japan,3091
Nissan,Japan,3092
Honda,Japan,3093
Honda,Japan,3094
Mitsubishi,Japan,3095
MG,China,3096
Ford,USA,3097
Toyota,Japan,3098
Honda,Japan,3099
Mitsubishi,Japan,3100
Mitsubishi,Japan,3101
Nissan,Japan,3102
Mazda,Japan,3103
Mitsubishi,Japan,3104
Toyota,Japan,3105
Mitsubishi,Japan,3106
MG,China,3107
Mazda,Japan,3108
Mitsubishi,Japan,3109
Ford,USA,3110
Mitsubishi,Japan,3111
MG,China,3112
Mitsubishi,Japan,3113
Nissan,Japan,3114
Ford,USA,3115
Mitsubishi,Japan,3116
Toyota,Japan,3117
Honda,Japan,3118
Toyota,Japan,3119
Toyota,Japan,3120
Toyota,Japan,3121
Mitsubishi,Japan,3122
Toyota,Japan,3123
Ford,USA,3124
Nissan,Japan,3125
Mitsubishi,Japan,3126
Mitsubishi,Japan,3127
Toyota,Japan,3128
Toyota,Japan,3129
MG,China,3130
Honda,Japan,3131
Mazda,Japan,3132
Toyota,Japan,3133
Nissan,Japan,3134
Mitsubishi,Japan,3135
Honda,Japan,3136
Subaru,Japan,3137
Suzuki,,3138
Mazda,Japan,3139
Nissan,Japan,3140
Toyota,Japan,3141
MG,China,3142
Mazda,Japan,3143
Toyota,Japan,3144
Honda,Japan,3145
Toyota,Japan,3146
Ford,USA,3147
Honda,Japan,3148
Toyota,Japan,3149
Mitsubishi,Japan,3150
Subaru,Japan,3151
Ford,USA,3152
Toyota,Japan,3153
Honda,Japan,3154
Ford,USA,3155
Mitsubishi,Japan,3156
Toyota,Japan,3157
Mazda,Japan,3158
Toyota,Japan,3159
Honda,Japan,3160
Honda,Japan,3161
Ford,USA,3162
Honda,Japan,3163
Honda,Japan,3164
Isuzu,Japan,3165
MG,China,3166
MG,China,3167
Ford,USA,3168
Ford,USA,3169
Nissan,Japan,3170
Mazda,Japan,3171
Mitsubishi,Japan,3172
Toyota,Japan,3173
Mitsubishi,Japan,3174
Honda,Japan,3175
Honda,Japan,3176
Ford,USA,3177
Toyota,Japan,3178
Toyota,Japan,3179
Ford,USA,3180
Mazda,Japan,3181
Honda,Japan,3182
Toyota,Japan,3183
Mazda,Japan,3184
MG,China,3185
Ford,USA,3186
Mitsubishi,Japan,3187
Honda,Japan,3188
Ford,USA,3189
Honda,Japan,3190
Honda,Japan,3191
Mitsubishi,Japan,3192
Suzuki,,3193
Nissan,Japan,3194
Nissan,Japan,3195
Mitsubishi,Japan,3196
MG,China,3197
Mazda,Japan,3198
MG,China,3199
Toyota,Japan,3200
Mitsubishi,Japan,3201
Toyota,Japan,3202
Mitsubishi,Japan,3203
MG,China,3204
Ford,USA,3205
Toyota,Japan,3206
Subaru,Japan,3207
MG,China,3208
Nissan,Japan,3209
Ford,USA,3210
Subaru,Japan,3211
Toyota,Japan,3212
Mitsubishi,Japan,3213
Isuzu,Japan,3214
Toyota,Japan,3215
Toyota,Japan,3216
Nissan,Japan,3217
Isuzu,Japan,3218
Mazda,Japan,3219
Honda,Japan,3220
Honda,Japan,3221
Mazda,Japan,3222
Nissan,Japan,3223
Suzuki,,3224
Subaru,Japan,3225
Toyota,Japan,3226
Toyota,Japan,3227
Ford,USA,3228
Honda,Japan,3229
Honda,Japan,3230
Mazda,Japan,3231
Mazda,Japan,3232
Isuzu,Japan,3233
Mazda,Japan,3234
Toyota,Japan,3235
Nissan,Japan,3236
Suzuki,,3237
MG,China,3238
Nissan,Japan,3239
Mazda,Japan,3240
Honda,Japan,3241
Nissan,Japan,3242
Nissan,Japan,3243
Honda,Japan,3244
