brand,original_country,index
Honda,Japan,3998
Toyota,Japan,3999
Subaru,Japan,4000
Isuzu,Japan,4001
Isuzu,Japan,4002
Toyota,Japan,4003
Mitsubishi,Japan,4004
Nissan,Japan,4005
Isuzu,Japan,4006
Honda,Japan,4007
Honda,Japan,4008
Suzuki,,4009
Nissan,Japan,4010
Mitsubishi,Japan,4011
Ford,USA,4012
Isuzu,Japan,4013
Mitsubishi,Japan,4014
Toyota,Japan,4015
Mazda,Japan,4016
Mazda,Japan,4017
Ford,USA,4018
MG,China,4019
Isuzu,Japan,4020
Honda,Japan,4021
Nissan,Japan,4022
Toyota,Japan,4023
Ford,USA,4024
Nissan,Japan,4025
Isuzu,Japan,4026
Honda,Japan,4027
Ford,USA,4028
Honda,Japan,4029
Toyota,Japan,4030
Nissan,Japan,4031
Isuzu,Japan,4032
Mazda,Japan,4033
Toyota,Japan,4034
Ford,USA,4035
Toyota,Japan,4036
Nissan,Japan,4037
Toyota,Japan,4038
Toyota,Japan,4039
Mazda,Japan,4040
Mazda,Japan,4041
Toyota,Japan,4042
Honda,Japan,4043
Nissan,Japan,4044
Honda,Japan,4045
Mitsubishi,Japan,4046
Mazda,Japan,4047
Toyota,Japan,4048
Suzuki,,4049
Ford,USA,4050
Nissan,Japan,4051
MG,China,4052
MG,China,4053
Ford,USA,4054
Isuzu,Japan,4055
Honda,Japan,4056
MG,China,4057
Toyota,Japan,4058
MG,China,4059
Toyota,Japan,4060
Mazda,Japan,4061
Mitsubishi,Japan,4062
Ford,USA,4063
Suzuki,,4064
Toyota,Japan,4065
Nissan,Japan,4066
Mazda,Japan,4067
Mitsubishi,Japan,4068
Toyota,Japan,4069
Suzuki,,4070
Mazda,Japan,4071
Mitsubishi,Japan,4072
