,index,brand_x,model,year,price,currency,kilometers_driven,transmission_type,pay_per_month_value,pay_per_month_unit,brand_y,original_country
51,10,Honda,HR-V_E_LIMITED_1.8,2016,531900,THB,163156,Automatic,8822,THB/MONTH,Honda,Japan
52,10,Honda,HR-V_E_LIMITED_1.8,2016,531900,THB,163156,Automatic,8822,THB/MONTH,Honda,Japan
53,10,Honda,HR-V_E_LIMITED_1.8,2016,542900,THB,163156,Automatic,9004,THB/MONTH,Honda,Japan
54,10,Honda,HR-V_E_LIMITED_1.8,2016,542900,THB,163156,Automatic,9004,THB/MONTH,Honda,Japan
55,11,Ford,EVEREST_TITANIUM+_2.2,2017,817900,THB,104070,Automatic,13565,THB/MONTH,Ford,USA
56,11,Ford,EVEREST_TITANIUM+_2.2,2017,817900,THB,104070,Automatic,13565,THB/MONTH,Ford,USA
57,11,Ford,EVEREST_TITANIUM+_2.2,2017,817900,THB,104070,Automatic,13565,THB/MONTH,Ford,USA
58,11,Ford,EVEREST_TITANIUM+_2.2,2017,834900,THB,104070,Automatic,13847,THB/MONTH,Ford,USA
59,11,Ford,EVEREST_TITANIUM+_2.2,2017,834900,THB,104070,Automatic,13847,THB/MONTH,Ford,USA
60,12,Mazda,CX-5_SP_2.0,2019,814900,THB,109150,Automatic,13515,THB/MONTH,Mazda,Japan
61,12,Mazda,CX-5_SP_2.0,2019,814900,THB,109150,Automatic,13515,THB/MONTH,Mazda,Japan
62,12,Mazda,CX-5_SP_2.0,2019,814900,THB,109150,Automatic,13515,THB/MONTH,Mazda,Japan
63,12,Mazda,CX-5_SP_2.0,2019,831900,THB,109150,Automatic,13797,THB/MONTH,Mazda,Japan
64,12,Mazda,CX-5_SP_2.0,2019,831900,THB,109150,Automatic,13797,THB/MONTH,Mazda,Japan
65,13,Honda,CR-V_E_2WD_2.4,2018,799900,THB,123019,Automatic,13266,THB/MONTH,Honda,Japan
66,13,Honda,CR-V_E_2WD_2.4,2018,799900,THB,123019,Automatic,13266,THB/MONTH,Honda,Japan
67,13,Honda,CR-V_E_2WD_2.4,2018,799900,THB,123019,Automatic,13266,THB/MONTH,Honda,Japan
68,13,Honda,CR-V_E_2WD_2.4,2018,815900,THB,123019,Automatic,13532,THB/MONTH,Honda,Japan
69,13,Honda,CR-V_E_2WD_2.4,2018,815900,THB,123019,Automatic,13532,THB/MONTH,Honda,Japan
70,14,Honda,CR-V_EL_4WD_2.4,2017,779900,THB,174198,Automatic,12935,THB/MONTH,Honda,Japan
71,14,Honda,CR-V_EL_4WD_2.4,2017,779900,THB,174198,Automatic,12935,THB/MONTH,Honda,Japan
72,14,Honda,CR-V_EL_4WD_2.4,2017,779900,THB,174198,Automatic,12935,THB/MONTH,Honda,Japan
73,14,Honda,CR-V_EL_4WD_2.4,2017,795900,THB,174198,Automatic,13200,THB/MONTH,Honda,Japan
74,14,Honda,CR-V_EL_4WD_2.4,2017,795900,THB,174198,Automatic,13200,THB/MONTH,Honda,Japan
75,15,Mazda,CX-5_SP_2.0,2018,790900,THB,110041,Automatic,13117,THB/MONTH,Mazda,Japan
76,15,Mazda,CX-5_SP_2.0,2018,790900,THB,110041,Automatic,13117,THB/MONTH,Mazda,Japan
