index,brand,model,year,price,currency,kilometers_driven,transmission_type,pay_per_month_value,pay_per_month_unit
198,Suzuki,ERTIGA_GX_1.5,2019,493900,THB,74797,Automatic,8191,THB/MONTH
199,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2019,598900,THB,119945,Automatic,9933,THB/MONTH
200,Nissan,X-TRAIL_S_2.0,2017,496900,THB,140632,Automatic,8241,THB/MONTH
201,Ford,RANGER_OPEN_CAB_HI-RIDER_XLT_2.2,2019,478900,THB,98798,Manual,7943,THB/MONTH
202,Mazda,CX-30_SP_2.0,2020,837900,THB,65472,Automatic,13897,THB/MONTH
203,Mazda,2_SKYACTIV_XD_SPORTS_HIGH_PLUS_1.5,2015,393900,THB,149669,Automatic,6533,THB/MONTH
204,MG,MG5_X_TURBO_SUNROOF_1.5,2019,387900,THB,111267,Automatic,6433,THB/MONTH
205,Honda,CIVIC_EL_1.8,2018,709900,THB,125052,Automatic,11774,THB/MONTH
206,Honda,CITY_S_1.5,2019,439900,THB,90219,Automatic,7296,THB/MONTH
207,Honda,BRIO_AMAZE_SV_1.2,2018,384900,THB,49660,Automatic,6384,THB/MONTH
208,Honda,BRIO_V_1.2,2013,265900,THB,161903,Automatic,4410,THB/MONTH
209,Mitsubishi,ATTRAGE_GLS_LIMITED_EDITION_1.2,2013,238900,THB,126733,Automatic,3962,THB/MONTH
210,Suzuki,ERTIGA_GL_1.5,2019,465900,THB,29024,Automatic,7727,THB/MONTH
211,Toyota,COROLLA_ALTIS_S_1.8,2019,573900,THB,114857,Automatic,9518,THB/MONTH
212,Honda,CITY_V+_1.5,2019,500900,THB,85461,Automatic,8307,THB/MONTH
213,Honda,CIVIC_EL_1.8,2016,633900,THB,158683,Automatic,10513,THB/MONTH
214,Mazda,2_SPORTS_HIGH_PLUS_1.3,2018,430900,THB,126794,Automatic,7146,THB/MONTH
215,Honda,BR-V_SV_1.5,2016,449900,THB,127604,Automatic,7462,THB/MONTH
216,Toyota,SIENTA_V_1.5,2020,654900,THB,93824,Automatic,10862,THB/MONTH
217,Mazda,2_XD_HIGH_PLUS_L_1.5,2017,471900,THB,78396,Automatic,7826,THB/MONTH
218,Ford,RANGER_DOUBLE_CAB_4WD_WILDTRAK_3.2,2017,713900,THB,131572,Automatic,11840,THB/MONTH
219,Nissan,NP300_NAVARA_KING_CAB_S_2.5,2018,363900,THB,97256,Manual,6035,THB/MONTH
220,Honda,CITY_V+_1.5,2019,500900,THB,99186,Automatic,8307,THB/MONTH
221,Ford,ECOSPORT_TITANIUM_1.5,2016,343900,THB,137616,Automatic,5704,THB/MONTH
222,Honda,CIVIC_EL_1.8,2017,660900,THB,136279,Automatic,10961,THB/MONTH
223,Honda,BR-V_SV_1.5,2016,468900,THB,143100,Automatic,7777,THB/MONTH
224,Mitsubishi,MIRAGE_GLS_1.2,2016,236900,THB,118513,Automatic,3929,THB/MONTH
225,Mazda,2_HIGH_PLUS_1.3,2018,430900,THB,62389,Automatic,7146,THB/MONTH
226,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_2.2,2019,386900,THB,52613,Manual,6417,THB/MONTH
227,Mazda,2_HIGH_CONNECT_1.3,2019,415900,THB,96758,Automatic,6898,THB/MONTH
228,Honda,ACCORD_EL_NAVI_2.4,2013,551900,THB,168180,Automatic,9153,THB/MONTH
229,Toyota,VIOS_E_1.5,2013,278900,THB,159115,Automatic,4626,THB/MONTH
230,MG,MG3_X_1.5,2015,238900,THB,70995,Automatic,3962,THB/MONTH
231,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,1071900,THB,105477,Automatic,17777,THB/MONTH
232,Mazda,3_SP_SPORTS_2.0,2019,802900,THB,65827,Automatic,13316,THB/MONTH
233,Honda,CIVIC_TURBO_RS_1.5,2017,750900,THB,144651,Automatic,12454,THB/MONTH
234,Mitsubishi,MIRAGE_GLX_1.2,2013,228900,THB,151635,Automatic,3796,THB/MONTH
235,Toyota,VIOS_G_1.5,2013,326900,THB,154719,Automatic,5422,THB/MONTH
236,Mazda,2_HIGH_CONNECT_1.3,2016,360900,THB,152046,Automatic,5986,THB/MONTH
237,Honda,CITY_V+_1.5,2019,500900,THB,47086,Automatic,8307,THB/MONTH
238,Nissan,ALMERA_E_SPORTECH_1.2,2019,344900,THB,50814,Automatic,5720,THB/MONTH
239,Mazda,3_S_SPORTS_2.0,2017,547900,THB,104818,Automatic,9087,THB/MONTH
240,Suzuki,SWIFT_GLX_NAVI_1.2,2018,435900,THB,109237,Automatic,7229,THB/MONTH
241,Nissan,TEANA_200_XL_NAVI_2.0,2014,503900,THB,161692,Automatic,8357,THB/MONTH
242,Nissan,ALMERA_EL_1.2,2016,299900,THB,80962,Automatic,4974,THB/MONTH
243,Toyota,VIOS_E_1.5,2014,326900,THB,77423,Automatic,5422,THB/MONTH
244,Toyota,CAMRY_G_2.0,2018,713900,THB,137192,Automatic,11840,THB/MONTH
245,Nissan,MARCH_E_1.2,2018,306900,THB,46711,Automatic,5090,THB/MONTH
246,Suzuki,SWIFT_GLX_1.2,2013,274900,THB,146688,Automatic,4559,THB/MONTH
247,Mazda,3_S_SPORTS_2.0,2017,547900,THB,123019,Automatic,9087,THB/MONTH
248,Suzuki,CIAZ_GL_1.2,2017,280900,THB,135292,Automatic,4659,THB/MONTH
249,Ford,ECOSPORT_TREND_1.5,2017,335900,THB,170359,Automatic,5571,THB/MONTH
250,Honda,CITY_S_1.5,2019,439900,THB,103625,Automatic,7296,THB/MONTH
251,Honda,CIVIC_EL_1.8,2020,776900,THB,75156,Automatic,12885,THB/MONTH
252,MG,MG3_X_1.5,2016,246900,THB,109343,Automatic,4095,THB/MONTH
253,Mitsubishi,ATTRAGE_GLX_1.2,2017,291900,THB,75060,Automatic,4841,THB/MONTH
254,Mazda,2_GROOVE_(SEDAN)_1.5,2013,234900,THB,136971,Automatic,3896,THB/MONTH
255,Nissan,MARCH_E_1.2,2019,327900,THB,86293,Automatic,5438,THB/MONTH
256,Toyota,HILUX_VIGO_DOUBLE_CAB_E_PRERUNNER_(ABS)_2.5,2013,417900,THB,158071,Manual,6931,THB/MONTH
257,Toyota,INNOVA_CRYSTA_G_2.8,2017,642900,THB,178821,Automatic,10662,THB/MONTH
258,Toyota,COROLLA_ALTIS_V_1.8,2019,612900,THB,109343,Automatic,10165,THB/MONTH
259,Isuzu,D-MAX_CAB-4_HI-LANDER_DDI_Z_DVD_1.9,2018,581900,THB,121836,Manual,9651,THB/MONTH
260,Nissan,TEANA_200_XL_2.0,2015,479900,THB,158322,Automatic,7959,THB/MONTH
261,Suzuki,CIAZ_GL_1.2,2015,262900,THB,160988,Automatic,4360,THB/MONTH
262,Mazda,2_SKYACTIV_XD_HIGH_PLUS_L_1.5,2016,409900,THB,46592,Automatic,6798,THB/MONTH
263,Honda,CIVIC_ES_1.8,2014,460900,THB,177477,Automatic,7644,THB/MONTH
264,Nissan,NOTE_VL_1.2,2018,363900,THB,78489,Automatic,6035,THB/MONTH
265,Honda,CIVIC_EL_1.8,2017,657900,THB,100067,Automatic,10911,THB/MONTH
266,Suzuki,SWIFT_GLX_1.2,2013,274900,THB,173339,Automatic,4559,THB/MONTH
267,Mazda,2_SKYACTIV_XD_SPORTS_HIGH_PLUS_1.5,2015,399900,THB,126830,Automatic,6632,THB/MONTH
268,Honda,CIVIC_EL_1.8,2020,776900,THB,35089,Automatic,12885,THB/MONTH
269,Toyota,FORTUNER_V_2.8,2018,1078900,THB,130089,Automatic,17894,THB/MONTH
270,Mazda,BT-50_PRO_FREESTYLE_CAB_V_2.2,2018,377900,THB,44110,Manual,6267,THB/MONTH
271,Honda,BR-V_SV_1.5,2016,472900,THB,158167,Automatic,7843,THB/MONTH
272,Ford,ECOSPORT_TREND_1.5,2017,334900,THB,117527,Automatic,5554,THB/MONTH
273,Ford,EVEREST_TITANIUM+_4WD_2.0,2019,1072900,THB,73170,Automatic,17794,THB/MONTH
274,Mitsubishi,MIRAGE_GLX_1.2,2013,228900,THB,125455,Automatic,3796,THB/MONTH
275,Isuzu,MU-X_DA_DVD_2WD_3.0,2018,830900,THB,121947,Automatic,13780,THB/MONTH
276,Nissan,PULSAR_SV_1.6,2013,286900,THB,126455,Automatic,4758,THB/MONTH
277,Suzuki,SWIFT_GLX_1.2,2013,274900,THB,138153,Automatic,4559,THB/MONTH
278,Toyota,COROLLA_ALTIS_G_1.6,2015,375900,THB,168500,Automatic,6234,THB/MONTH
279,Toyota,C-HR_HYBRID_MID_1.8,2019,745900,THB,86090,Automatic,12371,THB/MONTH
280,Mazda,CX-5_S_2.0,2014,455900,THB,124290,Automatic,7561,THB/MONTH
281,Mazda,2_SKYACTIV_XD_SPORTS_HIGH_PLUS_L_1.5,2016,409900,THB,104071,Automatic,6798,THB/MONTH
282,Hyundai,H1_ELITE_2.5,2018,1095900,THB,140773,Automatic,18176,THB/MONTH
283,Honda,MOBILIO_V_1.5,2019,486900,THB,63216,Automatic,8075,THB/MONTH
284,MG,MG3_X_1.5,2016,251900,THB,124395,Automatic,4178,THB/MONTH
285,Mazda,CX-5_C_2.0,2019,726900,THB,101577,Automatic,12056,THB/MONTH
286,Ford,RANGER_OPEN_CAB_HI-RIDER_WILDTRAK_2.2,2013,317900,THB,148199,Manual,5272,THB/MONTH
287,Honda,HR-V_EL_1.8,2015,582900,THB,109128,Automatic,9667,THB/MONTH
288,Honda,BR-V_SV_1.5,2017,486900,THB,130961,Automatic,8075,THB/MONTH
289,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2019,424900,THB,18424,Automatic,7047,THB/MONTH
290,Nissan,NOTE_VL_1.2,2017,358900,THB,97867,Automatic,5952,THB/MONTH
291,Ford,RANGER_OPEN_CAB_HI-RIDER_XLT_2.2,2016,398900,THB,94655,Manual,6616,THB/MONTH
292,Mazda,2_C_SPORTS_1.3,2021,466900,THB,12578,Automatic,7744,THB/MONTH
293,Honda,CITY_V_1.5,2017,436900,THB,60831,Automatic,7246,THB/MONTH
294,Mitsubishi,ATTRAGE_GLX_1.2,2017,291900,THB,87030,Automatic,4841,THB/MONTH
295,Toyota,COROLLA_ALTIS_G_1.6,2018,460900,THB,115547,Automatic,7644,THB/MONTH
296,Honda,CITY_RS_1.0,2020,591900,THB,63961,Automatic,9817,THB/MONTH
297,Mazda,2_XD_HIGH_PLUS_L_1.5,2017,467900,THB,37569,Automatic,7760,THB/MONTH
298,Mazda,2_HIGH_CONNECT_1.3,2019,420900,THB,59161,Automatic,6981,THB/MONTH
299,Honda,CITY_S_1.5,2018,416900,THB,121116,Automatic,6914,THB/MONTH
300,Toyota,YARIS_E_1.2,2014,309900,THB,136356,Automatic,5140,THB/MONTH
301,Nissan,ALMERA_E_SPORTECH_1.2,2018,306900,THB,57337,Automatic,5090,THB/MONTH
302,Mazda,3_SP_SPORTS_2.0,2019,698900,THB,69711,Automatic,11591,THB/MONTH
303,Mazda,3_S_SPORTS_2.0,2017,547900,THB,162276,Automatic,9087,THB/MONTH
304,MG,MG3_XROSS_X_1.5,2015,255900,THB,104904,Automatic,4244,THB/MONTH
305,Mazda,2_HIGH_CONNECT_1.3,2017,375900,THB,129834,Automatic,6234,THB/MONTH
306,Mazda,2_SPORTS_HIGH_PLUS_1.3,2019,447900,THB,21505,Automatic,7428,THB/MONTH
307,Nissan,SYLPHY_V_1.6,2013,290900,THB,82102,Automatic,4825,THB/MONTH
308,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2019,421900,THB,39806,Automatic,6997,THB/MONTH
309,Honda,CIVIC_EL_1.8,2016,626900,THB,161041,Automatic,10397,THB/MONTH
310,Honda,CITY_V_1.5,2017,436900,THB,98997,Automatic,7246,THB/MONTH
311,Suzuki,SWIFT_GLX_1.2,2013,279900,THB,103708,Automatic,4642,THB/MONTH
312,Honda,CIVIC_TURBO_RS_1.5,2019,869900,THB,78156,Automatic,14427,THB/MONTH
313,Honda,CIVIC_EL_1.8,2019,734900,THB,105722,Automatic,12188,THB/MONTH
314,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2019,421900,THB,54754,Automatic,6997,THB/MONTH
315,Suzuki,SWIFT_GL_1.2,2013,269900,THB,153133,Automatic,4476,THB/MONTH
316,Honda,CITY_SV_1.5,2017,480900,THB,129388,Automatic,7976,THB/MONTH
317,Toyota,SIENTA_V_1.5,2016,508900,THB,118058,Automatic,8440,THB/MONTH
318,MG,ZS_D_1.5,2018,412900,THB,144232,Automatic,6848,THB/MONTH
319,Honda,CITY_S_1.5,2019,436900,THB,118111,Automatic,7246,THB/MONTH
320,Nissan,ALMERA_E_SPORTECH_1.2,2019,344900,THB,106147,Automatic,5720,THB/MONTH
321,Toyota,YARIS_E_1.2,2016,338900,THB,115650,Automatic,5621,THB/MONTH
322,Suzuki,SWIFT_GLX_1.2,2013,279900,THB,127144,Automatic,4642,THB/MONTH
323,Suzuki,CELERIO_GL_1.0,2018,259900,THB,110415,Automatic,4310,THB/MONTH
324,Nissan,ALMERA_E_SPORTECH_1.2,2019,344900,THB,65530,Automatic,5720,THB/MONTH
325,Nissan,MARCH_E_1.2,2019,327900,THB,80548,Automatic,5438,THB/MONTH
326,Honda,CIVIC_EL_1.8,2019,734900,THB,61152,Automatic,12188,THB/MONTH
327,Toyota,YARIS_G_1.2,2016,359900,THB,162507,Automatic,5969,THB/MONTH
328,Mazda,2_XD_HIGH_PLUS_L_1.5,2017,440900,THB,86480,Automatic,7312,THB/MONTH
329,Mitsubishi,MIRAGE_GLX_1.2,2017,277900,THB,113815,Automatic,4609,THB/MONTH
330,Honda,JAZZ_S_1.5,2018,463900,THB,126270,Automatic,7694,THB/MONTH
331,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2018,401900,THB,66111,Automatic,6666,THB/MONTH
332,Mazda,2_SP_1.3,2020,463900,THB,66482,Automatic,7694,THB/MONTH
333,Honda,CITY_V_1.5,2018,442900,THB,96075,Automatic,7345,THB/MONTH
334,Suzuki,CELERIO_GX_1.0,2019,286900,THB,79759,Automatic,4758,THB/MONTH
335,Nissan,ALMERA_E_SPORTECH_1.2,2018,334900,THB,84914,Automatic,5554,THB/MONTH
336,Mazda,2_SP_SPORTS_(HATCHBACK)_1.3,2020,489900,THB,42409,Automatic,8125,THB/MONTH
337,Mazda,2_HIGH_CONNECT_1.3,2019,418900,THB,64488,Automatic,6947,THB/MONTH
338,Toyota,SIENTA_V_1.5,2017,527900,THB,120588,Automatic,8755,THB/MONTH
339,Suzuki,CIAZ_GL_1.2,2018,297900,THB,99540,Automatic,4941,THB/MONTH
340,Nissan,SYLPHY_SV_1.6,2019,440900,THB,99033,Automatic,7312,THB/MONTH
341,Mitsubishi,MIRAGE_GLS_1.2,2019,368900,THB,42461,Automatic,6118,THB/MONTH
342,Toyota,YARIS_E_1.2,2014,308900,THB,95667,Automatic,5123,THB/MONTH
343,Nissan,X-TRAIL_S_2.0,2017,546900,THB,133165,Automatic,9070,THB/MONTH
344,Toyota,VIOS_E_1.5,2017,387900,THB,118843,Automatic,6433,THB/MONTH
345,Suzuki,SWIFT_GLX_1.2,2014,321900,THB,111567,Automatic,5339,THB/MONTH
346,Honda,JAZZ_S_1.5,2018,463900,THB,97455,Automatic,7694,THB/MONTH
347,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2019,421900,THB,89748,Automatic,6997,THB/MONTH
348,Toyota,YARIS_G_1.2,2013,313900,THB,161721,Automatic,5206,THB/MONTH
349,Mazda,3_S_SPORTS_2.0,2014,422900,THB,137749,Automatic,7014,THB/MONTH
350,Toyota,YARIS_G_1.5,2013,292900,THB,155989,Automatic,4858,THB/MONTH
351,Suzuki,SWIFT_GLX_1.2,2013,274900,THB,134239,Automatic,4559,THB/MONTH
352,MG,MG3_XROSS_X_1.5,2017,266900,THB,136775,Automatic,4427,THB/MONTH
353,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,1071900,THB,93501,Automatic,17777,THB/MONTH
354,Honda,CITY_V+_1.5,2018,469900,THB,123046,Automatic,7793,THB/MONTH
355,MG,ZS_X_1.5,2019,459900,THB,48281,Automatic,7627,THB/MONTH
356,Honda,CITY_SV_1.5,2017,480900,THB,179813,Automatic,7976,THB/MONTH
357,Nissan,ALMERA_E_SPORTECH_1.2,2017,301900,THB,82052,Automatic,5007,THB/MONTH
358,Suzuki,SWIFT_GLX_NAVI_1.2,2018,435900,THB,62684,Automatic,7229,THB/MONTH
359,MG,MG3_X_SUNROOF_1.5,2019,321900,THB,85656,Automatic,5339,THB/MONTH
360,Mazda,2_SPORTS_XD_HIGH_PLUS_1.5,2015,399900,THB,135851,Automatic,6632,THB/MONTH
361,Honda,MOBILIO_RS_1.5,2019,540900,THB,114475,Automatic,8971,THB/MONTH
362,Honda,BR-V_SV_1.5,2018,526900,THB,93370,Automatic,8739,THB/MONTH
363,Honda,CIVIC_EL_1.8,2019,734900,THB,82055,Automatic,12188,THB/MONTH
364,Honda,CITY_SV_1.5,2018,490900,THB,116846,Automatic,8142,THB/MONTH
365,Mazda,CX-3_S_2.0,2019,595900,THB,104692,Automatic,9883,THB/MONTH
366,Mazda,3_S_2.0,2017,476900,THB,83413,Automatic,7909,THB/MONTH
367,Toyota,VIOS_E_1.5,2014,319900,THB,134041,Automatic,5306,THB/MONTH
368,Mazda,CX-30_SP_2.0,2020,854900,THB,18935,Automatic,14179,THB/MONTH
369,Mitsubishi,ATTRAGE_GLX_1.2,2019,305900,THB,37574,Manual,5073,THB/MONTH
370,Nissan,JUKE_V_1.6,2014,340900,THB,146572,Automatic,5654,THB/MONTH
371,Mazda,2_HIGH_CONNECT_1.3,2019,418900,THB,31925,Automatic,6947,THB/MONTH
372,Suzuki,CIAZ_GL_1.2,2018,297900,THB,70152,Automatic,4941,THB/MONTH
373,Nissan,ALMERA_E_SPORTECH_1.2,2018,308900,THB,127859,Automatic,5123,THB/MONTH
374,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2017,376900,THB,176187,Automatic,6251,THB/MONTH
375,Mazda,2_HIGH_CONNECT_1.3,2019,418900,THB,58359,Automatic,6947,THB/MONTH
376,Suzuki,CIAZ_GL_1.2,2016,276900,THB,136318,Automatic,4592,THB/MONTH
377,Mazda,2_XD_HIGH_CONNECT_1.5,2017,417900,THB,80284,Automatic,6931,THB/MONTH
378,Nissan,ALMERA_E_1.2,2018,285900,THB,60957,Automatic,4742,THB/MONTH
379,Honda,CITY_SV_1.5,2017,480900,THB,145111,Automatic,7976,THB/MONTH
380,Mazda,2_ELEGANCE_(SEDAN)_SPIRIT_1.5,2013,262900,THB,173387,Automatic,4360,THB/MONTH
381,Mazda,2_HIGH_PLUS_1.3,2017,397900,THB,170964,Automatic,6599,THB/MONTH
382,Honda,CITY_SV_1.5,2016,423900,THB,170602,Automatic,7030,THB/MONTH
383,Nissan,NOTE_V_1.2,2018,341900,THB,105852,Automatic,5670,THB/MONTH
384,Toyota,YARIS_G_1.2,2018,422900,THB,74970,Automatic,7014,THB/MONTH
385,Suzuki,SWIFT_GL_1.2,2014,277900,THB,84230,Automatic,4609,THB/MONTH
386,Toyota,YARIS_MID_1.2,2020,450900,THB,74437,Automatic,7478,THB/MONTH
387,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2016,478900,THB,128940,Automatic,7943,THB/MONTH
388,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2019,421900,THB,47843,Automatic,6997,THB/MONTH
389,Mitsubishi,MIRAGE_GLX_1.2,2019,298900,THB,48221,Automatic,4957,THB/MONTH
390,Mazda,2_S_SPORTS_(LEATHER)_1.3,2021,488900,THB,16476,Automatic,8108,THB/MONTH
391,Mazda,2_HIGH_CONNECT_1.3,2018,395900,THB,94262,Automatic,6566,THB/MONTH
392,Suzuki,SWIFT_GL_1.2,2013,267900,THB,39481,Automatic,4443,THB/MONTH
393,Suzuki,SWIFT_GL_(SPORTS_EDITION)_1.2,2019,401900,THB,35001,Automatic,6666,THB/MONTH
394,Mazda,2_HIGH_CONNECT_1.3,2019,418900,THB,67984,Automatic,6947,THB/MONTH
395,Honda,CITY_S_1.5,2019,435900,THB,96659,Automatic,7229,THB/MONTH
396,Honda,BRIO_AMAZE_V_1.2,2019,370900,THB,94137,Automatic,6151,THB/MONTH
397,Honda,CITY_SV_1.5,2018,489900,THB,122945,Automatic,8125,THB/MONTH
398,Toyota,YARIS_E_1.2,2015,330900,THB,142120,Automatic,5488,THB/MONTH
399,Toyota,YARIS_E_1.2,2019,399900,THB,119269,Automatic,6632,THB/MONTH
400,Honda,JAZZ_V+_1.5,2015,436900,THB,172281,Automatic,7246,THB/MONTH
401,Mazda,2_SKYACTIV_HIGH_PLUS_1.3,2016,354900,THB,159995,Automatic,5886,THB/MONTH
402,Nissan,SYLPHY_V_1.6,2013,302900,THB,80310,Automatic,5024,THB/MONTH
403,Toyota,YARIS_J_1.2,2017,339900,THB,49488,Automatic,5637,THB/MONTH
404,Toyota,YARIS_E_1.2,2018,391900,THB,81378,Automatic,6500,THB/MONTH
405,Toyota,VIOS_E_1.5,2013,324900,THB,114513,Automatic,5388,THB/MONTH
406,Mazda,2_S_(LEATHER)_1.3,2019,463900,THB,65212,Automatic,7694,THB/MONTH
407,Honda,CITY_S_1.5,2019,435900,THB,101526,Automatic,7229,THB/MONTH
408,Mazda,BT-50_PRO_DOUBLE_CAB_HI-RACER_2.2,2014,377900,THB,137258,Automatic,6267,THB/MONTH
409,Nissan,ALMERA_E_1.2,2014,229900,THB,151608,Automatic,3813,THB/MONTH
410,Toyota,YARIS_ENTRY_1.2,2020,429900,THB,57279,Automatic,7130,THB/MONTH
411,Honda,CITY_V_1.5,2013,328900,THB,102484,Automatic,5455,THB/MONTH
412,Nissan,ALMERA_E_1.2,2018,285900,THB,120512,Automatic,4742,THB/MONTH
413,Nissan,ALMERA_E_1.2,2018,285900,THB,113433,Automatic,4742,THB/MONTH
414,Honda,CIVIC_EL_1.8,2017,667900,THB,86594,Automatic,11077,THB/MONTH
415,Nissan,SYLPHY_V_1.6,2018,417900,THB,113011,Automatic,6931,THB/MONTH
416,Mitsubishi,PAJERO_SPORT_GT_4WD_3.2,2010,300900,THB,203035,Automatic,4990,THB/MONTH
417,Suzuki,CIAZ_GLX_1.2,2015,195900,THB,195232,Automatic,3249,THB/MONTH
418,Mitsubishi,TRITON_DOUBLE_CAB_PLUS_GLS_LIMITED_EDITION_2.4,2018,416900,THB,40313,Automatic,6914,THB/MONTH
419,Mitsubishi,TRITON_MEGA_CAB_GLX_2.5,2018,252900,THB,45119,Manual,4194,THB/MONTH
420,Nissan,TEANA_250_XV_2.5,2011,221900,THB,265576,Automatic,3680,THB/MONTH
421,Nissan,JUKE_V_1.6,2014,254900,THB,172809,Automatic,4228,THB/MONTH
422,Isuzu,D-MAX_CAB-4_V-CROSS_MAX_Z-PRESTIGE_4WD_3.0,2018,581900,THB,54348,Automatic,9651,THB/MONTH
423,Mitsubishi,PAJERO_SPORT_GT_4WD_2.5,2014,424900,THB,107799,Automatic,7047,THB/MONTH
424,Suzuki,CIAZ_GL_1.2,2021,305900,THB,19634,Automatic,5073,THB/MONTH
425,Mitsubishi,MIRAGE_GLS_LIMITED_EDITION_1.2,2013,181900,THB,146188,Automatic,3017,THB/MONTH
426,Honda,BRIO_AMAZE_V_1.2,2018,261900,THB,112299,Automatic,4344,THB/MONTH
427,Mazda,3_SP_SPORTS_2.0,2014,358900,THB,134489,Automatic,5952,THB/MONTH
428,Nissan,SYLPHY_V_1.8,2013,232900,THB,143250,Automatic,3863,THB/MONTH
429,Nissan,JUKE_V_1.6,2014,272900,THB,169729,Automatic,4526,THB/MONTH
430,Mitsubishi,TRITON_MEGA_CAB_PLUS_GLX_2.4,2017,329900,THB,157456,Manual,5471,THB/MONTH
431,Nissan,JUKE_V_1.6,2014,272900,THB,152763,Automatic,4526,THB/MONTH
432,Mazda,CX-5_SP_2.0,2018,593900,THB,83567,Automatic,9850,THB/MONTH
433,Mazda,CX-5_XD_2.2,2019,680900,THB,105506,Automatic,11293,THB/MONTH
434,Isuzu,D-MAX_SPACECAB_HI-LANDER_DDI_Z_2.5,2014,375900,THB,79799,Manual,6234,THB/MONTH
435,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,836900,THB,124540,Automatic,13880,THB/MONTH
436,Honda,CR-V_SE_2.0,2016,558900,THB,87523,Automatic,9269,THB/MONTH
437,Mazda,CX-5_TURBO_SP_(4WD)_2.5,2019,938900,THB,77291,Automatic,15572,THB/MONTH
438,Nissan,MARCH_E_1.2,2018,242900,THB,66276,Automatic,4028,THB/MONTH
439,Mazda,3_SP_SPORTS_2.0,2014,435900,THB,102206,Automatic,7229,THB/MONTH
440,Honda,BR-V_SV_1.5,2017,376900,THB,136824,Automatic,6251,THB/MONTH
441,MG,ZS_X_1.5,2018,318900,THB,146691,Automatic,5289,THB/MONTH
442,Mazda,3_SP_SPORTS_2.0,2015,366900,THB,144970,Automatic,6085,THB/MONTH
443,Toyota,SIENTA_G_1.5,2017,355900,THB,152003,Automatic,5903,THB/MONTH
444,Isuzu,D-MAX_SPACECAB_HI-LANDER_DDI_Z_(VGS)_2.5,2015,464900,THB,85674,Manual,7710,THB/MONTH
445,Isuzu,D-MAX_SPACECAB_HI-LANDER_DDI_Z_(VGS)_2.5,2015,384900,THB,104150,Manual,6384,THB/MONTH
446,Ford,ECOSPORT_TITANIUM_1.5,2014,227900,THB,169345,Automatic,3780,THB/MONTH
447,Mitsubishi,TRITON_MEGA_CAB_PLUS_GLS_2.4,2018,360900,THB,124183,Manual,5986,THB/MONTH
448,MG,MG3_X_1.5,2016,201900,THB,123054,Automatic,3349,THB/MONTH
449,Mitsubishi,TRITON_MEGA_CAB_PLUS_GLS_2.4,2017,465900,THB,75853,Manual,7727,THB/MONTH
450,Isuzu,D-MAX_SPACECAB_HI-LANDER_DDI_Z_(VGS)_2.5,2015,448900,THB,112037,Automatic,7445,THB/MONTH
451,Honda,MOBILIO_RS_1.5,2018,496900,THB,102506,Automatic,8241,THB/MONTH
452,Mitsubishi,PAJERO_SPORT_GT_2.5,2015,533900,THB,153972,Automatic,8855,THB/MONTH
453,MG,HS_X_SUNROOF_1.5,2019,634900,THB,45156,Automatic,10530,THB/MONTH
454,Toyota,COROLLA_ALTIS_G_1.6,2017,358900,THB,172434,Automatic,5952,THB/MONTH
455,Toyota,CAMRY_G_2.0,2018,681900,THB,74285,Automatic,11309,THB/MONTH
456,Mitsubishi,TRITON_MEGA_CAB_GLX_PLUS_2.4,2019,435900,THB,107764,Manual,7229,THB/MONTH
457,Honda,CITY_V+_1.5,2017,507900,THB,116153,Automatic,8424,THB/MONTH
458,Nissan,NP300_NAVARA_KING_CAB_S_2.5,2018,341900,THB,41603,Manual,5670,THB/MONTH
459,Mazda,3_S_SPORTS_2.0,2015,473900,THB,132211,Automatic,7860,THB/MONTH
460,Subaru,FORESTER_I-S_2.0,2019,713900,THB,38118,Automatic,11840,THB/MONTH
461,Mazda,3_S_2.0,2016,420900,THB,112555,Automatic,6981,THB/MONTH
462,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2017,514900,THB,56886,Automatic,8540,THB/MONTH
463,Mazda,CX-5_XDL_(4WD)_2.2,2018,696900,THB,103285,Automatic,11558,THB/MONTH
464,Mitsubishi,TRITON_MEGA_CAB_PLUS_GLS_2.5,2013,252900,THB,128866,Manual,4194,THB/MONTH
465,MG,MG3_D_1.5,2018,202900,THB,74998,Automatic,3365,THB/MONTH
466,Mitsubishi,TRITON_DOUBLE_CAB_PLUS_GLS_MIVEC_2.4,2019,583900,THB,60844,Manual,9684,THB/MONTH
467,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_(ABS)_2.2,2018,396900,THB,59564,Manual,6583,THB/MONTH
