,brand,model,year,price,currency,pay_per_month,kilometers_driven,transmission_type
183,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,1071900,บาท,17777 บาท /เดือน,113790,Automatic
184,Honda,CITY_S_1.5,2019,439900,บาท,7296 บาท /เดือน,99633,Automatic
185,Toyota,VIOS_S_1.5,2018,462900,บาท,7677 บาท /เดือน,62941,Automatic
186,Honda,CITY_SV_1.5,2016,424900,บาท,7047 บาท /เดือน,94059,Automatic
187,Honda,CITY_SV_1.5,2013,339900,บาท,5637 บาท /เดือน,162902,Automatic
188,Toyota,YARIS_G_1.2,2014,333900,บาท,5538 บาท /เดือน,42752,Automatic
189,Nissan,SYLPHY_V_1.6,2013,281900,บาท,4675 บาท /เดือน,151411,Automatic
190,MG,MG3_X_SUNROOF_1.5,2019,321900,บาท,5339 บาท /เดือน,85656,Automatic
191,Mazda,2_HIGH_PLUS_1.3,2017,401900,บาท,6666 บาท /เดือน,147076,Automatic
192,Mitsubishi,ATTRAGE_GLS_1.2,2018,310900,บาท,5156 บาท /เดือน,101289,Automatic
193,Honda,CIVIC_E_1.8,2019,679900,บาท,11276 บาท /เดือน,110401,Automatic
194,Toyota,VIOS_G_1.5,2018,418900,บาท,6947 บาท /เดือน,91379,Automatic
195,MG,ZS_D_1.5,2018,425900,บาท,7064 บาท /เดือน,21820,Automatic
196,MG,ZS_X_1.5,2018,459900,บาท,7627 บาท /เดือน,58843,Automatic
197,Toyota,HILUX_REVO_SMART_CAB_E_PLUS_PRERUNNER_2.4,2019,552900,บาท,9170 บาท /เดือน,95083,เกียร์ธรรมดา
198,Nissan,NP300_NAVARA_KING_CAB_S_2.5,2019,379900,บาท,6301 บาท /เดือน,70486,เกียร์ธรรมดา
199,Mitsubishi,MIRAGE_GLX_1.2,2018,264900,บาท,4393 บาท /เดือน,80563,เกียร์ธรรมดา
200,Nissan,MARCH_S_1.2,2017,230900,บาท,3829 บาท /เดือน,84238,เกียร์ธรรมดา
201,Toyota,CAMRY_G_2.5,2018,851900,บาท,14129 บาท /เดือน,87845,Automatic
202,Mitsubishi,ATTRAGE_GLX_1.2,2017,291900,บาท,4841 บาท /เดือน,80646,Automatic
203,Toyota,YARIS_G_1.2,2013,313900,บาท,5206 บาท /เดือน,161721,Automatic
204,Hyundai,H1_ELITE_2.5,2015,762900,บาท,12653 บาท /เดือน,161034,Automatic
205,Ford,ECOSPORT_TREND_1.5,2016,342900,บาท,5687 บาท /เดือน,159747,Automatic
206,Mazda,3_SP_2.0,2019,798900,บาท,13250 บาท /เดือน,89810,Automatic
207,Suzuki,SWIFT_GLX_1.2,2013,274900,บาท,4559 บาท /เดือน,134239,Automatic
208,Mazda,CX-3_S_2.0,2018,577900,บาท,9584 บาท /เดือน,69436,Automatic
209,Mitsubishi,ATTRAGE_GLX_1.2,2018,291900,บาท,4841 บาท /เดือน,51933,Automatic
210,Mitsubishi,ATTRAGE_GLS_LIMITED_EDITION_1.2,2018,332900,บาท,5521 บาท /เดือน,98839,Automatic
211,Nissan,PULSAR_V_1.8,2013,322900,บาท,5355 บาท /เดือน,101461,Automatic
212,Hyundai,GRAND_STAREX_VIP_2.5,2017,1181900,บาท,19602 บาท /เดือน,72829,Automatic
213,Honda,ACCORD_EL_2.4,2018,806900,บาท,13382 บาท /เดือน,132513,Automatic
214,Nissan,X-TRAIL_V_4WD_2.0,2014,458900,บาท,7611 บาท /เดือน,130485,Automatic
215,Mitsubishi,ATTRAGE_GLX_1.2,2014,203900,บาท,3382 บาท /เดือน,71140,เกียร์ธรรมดา
216,Honda,CIVIC_TURBO_RS_1.5,2016,702900,บาท,11658 บาท /เดือน,111866,Automatic
217,Toyota,HILUX_REVO_SMART_CAB_E_PLUS_4WD_2.4,2019,589900,บาท,9783 บาท /เดือน,96483,เกียร์ธรรมดา
218,Honda,BR-V_SV_1.5,2017,547900,บาท,9087 บาท /เดือน,135135,Automatic
219,Honda,CIVIC_EL_1.8,2019,718900,บาท,11923 บาท /เดือน,66734,Automatic
220,Honda,CIVIC_EL_1.8,2017,641900,บาท,10646 บาท /เดือน,160609,Automatic
221,Honda,CIVIC_EL_1.8,2016,613900,บาท,10182 บาท /เดือน,99265,Automatic
222,Mazda,3_S_SPORTS_2.0,2018,573900,บาท,9518 บาท /เดือน,144720,Automatic
223,Toyota,VIOS_J_1.5,2018,393900,บาท,6533 บาท /เดือน,102681,Automatic
224,Honda,ACCORD_EL_2.4,2018,806900,บาท,13382 บาท /เดือน,70263,Automatic
225,Toyota,CAMRY_G_2.0,2018,695900,บาท,11542 บาท /เดือน,115435,Automatic
226,MG,MG3_D_1.5,2019,302900,บาท,5024 บาท /เดือน,20080,Automatic
227,Toyota,SIENTA_G_1.5,2019,551900,บาท,9153 บาท /เดือน,82602,Automatic
228,Honda,CIVIC_TURBO_(HATCHBACK)_1.5,2017,806900,บาท,13382 บาท /เดือน,122695,Automatic
229,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2019,598900,บาท,9933 บาท /เดือน,119945,Automatic
230,Nissan,X-TRAIL_S_2.0,2017,496900,บาท,8241 บาท /เดือน,140632,Automatic
231,Ford,RANGER_OPEN_CAB_HI-RIDER_XLT_2.2,2019,478900,บาท,7943 บาท /เดือน,98798,เกียร์ธรรมดา
232,Mazda,CX-30_SP_2.0,2020,837900,บาท,13897 บาท /เดือน,65472,Automatic
233,Mazda,2_SKYACTIV_XD_SPORTS_HIGH_PLUS_1.5,2015,393900,บาท,6533 บาท /เดือน,149669,Automatic
234,MG,MG5_X_TURBO_SUNROOF_1.5,2019,387900,บาท,6433 บาท /เดือน,111267,Automatic
235,Honda,CIVIC_EL_1.8,2018,709900,บาท,11774 บาท /เดือน,125052,Automatic
236,Honda,CITY_S_1.5,2019,439900,บาท,7296 บาท /เดือน,90219,Automatic
237,Toyota,VIOS_MID_1.5,2019,453900,บาท,7528 บาท /เดือน,36755,Automatic
238,Honda,BRIO_AMAZE_SV_1.2,2018,384900,บาท,6384 บาท /เดือน,49660,Automatic
239,Nissan,NOTE_VL_1.2,2017,358900,บาท,5952 บาท /เดือน,153326,Automatic
240,Honda,BRIO_V_1.2,2013,265900,บาท,4410 บาท /เดือน,161903,Automatic
241,Mitsubishi,MIRAGE_GLX_1.2,2018,289900,บาท,4808 บาท /เดือน,61417,Automatic
242,Mitsubishi,ATTRAGE_GLS_LIMITED_EDITION_1.2,2013,238900,บาท,3962 บาท /เดือน,126733,Automatic
243,Suzuki,ERTIGA_GL_1.5,2019,465900,บาท,7727 บาท /เดือน,29024,Automatic
244,Toyota,COROLLA_ALTIS_S_1.8,2019,573900,บาท,9518 บาท /เดือน,114857,Automatic
245,Mitsubishi,MIRAGE_GLX_1.2,2019,306900,บาท,5090 บาท /เดือน,62355,Automatic
246,Mazda,3_S_2.0,2017,476900,บาท,7909 บาท /เดือน,83413,Automatic
247,Honda,CITY_V+_1.5,2019,500900,บาท,8307 บาท /เดือน,85461,Automatic
248,Honda,CIVIC_EL_1.8,2016,633900,บาท,10513 บาท /เดือน,158683,Automatic
249,Mazda,2_SPORTS_HIGH_PLUS_1.3,2018,430900,บาท,7146 บาท /เดือน,126794,Automatic
250,Honda,BR-V_SV_1.5,2016,449900,บาท,7462 บาท /เดือน,127604,Automatic
251,Toyota,SIENTA_V_1.5,2020,654900,บาท,10862 บาท /เดือน,93824,Automatic
252,Mazda,2_XD_HIGH_PLUS_L_1.5,2017,471900,บาท,7826 บาท /เดือน,78396,Automatic
253,Ford,RANGER_DOUBLE_CAB_4WD_WILDTRAK_3.2,2017,713900,บาท,11840 บาท /เดือน,131572,Automatic
254,Nissan,NP300_NAVARA_KING_CAB_S_2.5,2018,363900,บาท,6035 บาท /เดือน,97256,เกียร์ธรรมดา
255,Honda,CITY_V+_1.5,2019,500900,บาท,8307 บาท /เดือน,99186,Automatic
256,Ford,ECOSPORT_TITANIUM_1.5,2016,343900,บาท,5704 บาท /เดือน,137616,Automatic
257,Honda,CIVIC_EL_1.8,2017,660900,บาท,10961 บาท /เดือน,136279,Automatic
258,Honda,BR-V_SV_1.5,2016,468900,บาท,7777 บาท /เดือน,143100,Automatic
259,Mazda,2_HIGH_PLUS_1.3,2018,430900,บาท,7146 บาท /เดือน,62389,Automatic
260,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_2.2,2019,386900,บาท,6417 บาท /เดือน,52613,เกียร์ธรรมดา
261,Mazda,CX-3_SP_2.0,2019,657900,บาท,10911 บาท /เดือน,63483,Automatic
262,Honda,ACCORD_EL_NAVI_2.4,2013,551900,บาท,9153 บาท /เดือน,168180,Automatic
263,Toyota,VIOS_E_1.5,2013,278900,บาท,4626 บาท /เดือน,159115,Automatic
264,MG,MG3_X_1.5,2015,238900,บาท,3962 บาท /เดือน,70995,Automatic
265,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,1071900,บาท,17777 บาท /เดือน,105477,Automatic
266,Mazda,3_SP_SPORTS_2.0,2019,802900,บาท,13316 บาท /เดือน,65827,Automatic
267,Honda,CIVIC_TURBO_RS_1.5,2017,750900,บาท,12454 บาท /เดือน,144651,Automatic
268,Mitsubishi,MIRAGE_GLX_1.2,2013,228900,บาท,3796 บาท /เดือน,151635,Automatic
269,Toyota,VIOS_G_1.5,2013,326900,บาท,5422 บาท /เดือน,154719,Automatic
270,Mazda,2_HIGH_CONNECT_1.3,2016,360900,บาท,5986 บาท /เดือน,152046,Automatic
271,Honda,CITY_V+_1.5,2019,500900,บาท,8307 บาท /เดือน,47086,Automatic
272,Nissan,ALMERA_E_SPORTECH_1.2,2019,344900,บาท,5720 บาท /เดือน,50814,Automatic
273,Mazda,3_S_SPORTS_2.0,2017,547900,บาท,9087 บาท /เดือน,104818,Automatic
274,Nissan,TEANA_200_XL_NAVI_2.0,2014,503900,บาท,8357 บาท /เดือน,161692,Automatic
275,Nissan,ALMERA_EL_1.2,2016,299900,บาท,4974 บาท /เดือน,80962,Automatic
276,Toyota,VIOS_E_1.5,2014,326900,บาท,5422 บาท /เดือน,77423,Automatic
277,Toyota,CAMRY_G_2.0,2018,713900,บาท,11840 บาท /เดือน,137192,Automatic
278,Nissan,ALMERA_E_SPORTECH_1.2,2017,301900,บาท,5007 บาท /เดือน,82052,Automatic
279,Nissan,MARCH_E_1.2,2018,306900,บาท,5090 บาท /เดือน,46711,Automatic
280,Suzuki,SWIFT_GLX_1.2,2013,274900,บาท,4559 บาท /เดือน,146688,Automatic
281,Suzuki,CIAZ_GL_1.2,2017,280900,บาท,4659 บาท /เดือน,135292,Automatic
282,Ford,ECOSPORT_TREND_1.5,2017,335900,บาท,5571 บาท /เดือน,170359,Automatic
283,Honda,CITY_S_1.5,2019,439900,บาท,7296 บาท /เดือน,103625,Automatic
284,Honda,CIVIC_EL_1.8,2020,776900,บาท,12885 บาท /เดือน,75156,Automatic
285,MG,MG3_X_1.5,2016,246900,บาท,4095 บาท /เดือน,109343,Automatic
286,Mazda,2_HIGH_CONNECT_1.3,2018,406900,บาท,6748 บาท /เดือน,68969,Automatic
287,Mitsubishi,ATTRAGE_GLX_1.2,2017,291900,บาท,4841 บาท /เดือน,75060,Automatic
288,Mitsubishi,ATTRAGE_GLX_1.2,2015,252900,บาท,4194 บาท /เดือน,150996,Automatic
289,Mazda,CX-3_S_2.0,2019,595900,บาท,9883 บาท /เดือน,104692,Automatic
290,Mazda,2_GROOVE_(SEDAN)_1.5,2013,234900,บาท,3896 บาท /เดือน,136971,Automatic
291,Nissan,MARCH_E_1.2,2019,327900,บาท,5438 บาท /เดือน,86293,Automatic
292,Toyota,HILUX_VIGO_DOUBLE_CAB_E_PRERUNNER_(ABS)_2.5,2013,417900,บาท,6931 บาท /เดือน,158071,เกียร์ธรรมดา
293,Toyota,INNOVA_CRYSTA_G_2.8,2017,642900,บาท,10662 บาท /เดือน,178821,Automatic
294,Toyota,COROLLA_ALTIS_V_1.8,2019,612900,บาท,10165 บาท /เดือน,109343,Automatic
295,Isuzu,D-MAX_CAB-4_HI-LANDER_DDI_Z_DVD_1.9,2018,581900,บาท,9651 บาท /เดือน,121836,เกียร์ธรรมดา
296,Honda,CITY_SV_1.5,2018,490900,บาท,8142 บาท /เดือน,116846,Automatic
297,Nissan,TEANA_200_XL_2.0,2015,479900,บาท,7959 บาท /เดือน,158322,Automatic
298,Mitsubishi,MIRAGE_GLX_1.2,2019,306900,บาท,5090 บาท /เดือน,42683,Automatic
299,Mitsubishi,ATTRAGE_GLX_1.2,2019,305900,บาท,5073 บาท /เดือน,37574,เกียร์ธรรมดา
300,Nissan,PULSAR_V_1.8,2013,314900,บาท,5223 บาท /เดือน,65675,Automatic
301,Mazda,2_SKYACTIV_XD_HIGH_PLUS_L_1.5,2016,409900,บาท,6798 บาท /เดือน,46592,Automatic
302,Toyota,YARIS_G_1.5,2013,292900,บาท,4858 บาท /เดือน,155989,Automatic
303,Mazda,2_SPORTS_XD_HIGH_PLUS_1.5,2015,399900,บาท,6632 บาท /เดือน,135851,Automatic
304,Nissan,NOTE_VL_1.2,2018,363900,บาท,6035 บาท /เดือน,78489,Automatic
305,Honda,CIVIC_EL_1.8,2019,734900,บาท,12188 บาท /เดือน,82055,Automatic
306,Honda,CIVIC_EL_1.8,2017,657900,บาท,10911 บาท /เดือน,100067,Automatic
307,Honda,MOBILIO_RS_1.5,2019,540900,บาท,8971 บาท /เดือน,114475,Automatic
308,Suzuki,SWIFT_GLX_1.2,2013,274900,บาท,4559 บาท /เดือน,173339,Automatic
309,Mazda,2_SKYACTIV_XD_SPORTS_HIGH_PLUS_1.5,2015,399900,บาท,6632 บาท /เดือน,126830,Automatic
310,MG,MG3_XROSS_X_1.5,2017,266900,บาท,4427 บาท /เดือน,136775,Automatic
311,Honda,CITY_V+_1.5,2018,469900,บาท,7793 บาท /เดือน,123046,Automatic
312,Honda,CIVIC_EL_1.8,2020,776900,บาท,12885 บาท /เดือน,35089,Automatic
313,Toyota,FORTUNER_V_2.8,2018,1078900,บาท,17894 บาท /เดือน,130089,Automatic
314,Mazda,BT-50_PRO_FREESTYLE_CAB_V_2.2,2018,377900,บาท,6267 บาท /เดือน,44110,เกียร์ธรรมดา
315,Honda,BR-V_SV_1.5,2016,472900,บาท,7843 บาท /เดือน,158167,Automatic
316,Ford,ECOSPORT_TREND_1.5,2017,334900,บาท,5554 บาท /เดือน,117527,Automatic
317,Honda,BR-V_SV_1.5,2018,526900,บาท,8739 บาท /เดือน,93370,Automatic
318,Ford,EVEREST_TITANIUM+_4WD_2.0,2019,1072900,บาท,17794 บาท /เดือน,73170,Automatic
319,Mitsubishi,MIRAGE_GLX_1.2,2013,228900,บาท,3796 บาท /เดือน,125455,Automatic
320,Nissan,PULSAR_SV_1.6,2013,286900,บาท,4758 บาท /เดือน,126455,Automatic
321,Suzuki,SWIFT_GLX_1.2,2013,274900,บาท,4559 บาท /เดือน,138153,Automatic
322,Toyota,COROLLA_ALTIS_G_1.6,2015,375900,บาท,6234 บาท /เดือน,168500,Automatic
323,Nissan,SYLPHY_V_(NAVI)_1.8,2013,303900,บาท,5040 บาท /เดือน,173710,Automatic
324,Toyota,C-HR_HYBRID_MID_1.8,2019,745900,บาท,12371 บาท /เดือน,86090,Automatic
325,Mazda,CX-5_S_2.0,2014,455900,บาท,7561 บาท /เดือน,124290,Automatic
326,Mazda,2_SKYACTIV_XD_SPORTS_HIGH_PLUS_L_1.5,2016,409900,บาท,6798 บาท /เดือน,104071,Automatic
327,Mazda,CX-30_SP_2.0,2020,854900,บาท,14179 บาท /เดือน,18935,Automatic
328,Suzuki,SWIFT_GLX_NAVI_1.2,2018,435900,บาท,7229 บาท /เดือน,62684,Automatic
329,Honda,BRIO_AMAZE_V_1.2,2013,257900,บาท,4277 บาท /เดือน,80560,Automatic
330,Isuzu,D-MAX_CAB-4_HI-LANDER_X-SERIES_Z-PRESTIGE_1.9,2016,501900,บาท,8324 บาท /เดือน,178194,Automatic
331,Toyota,FORTUNER_V_4WD_2.4,2018,987900,บาท,16384 บาท /เดือน,136490,Automatic
332,Nissan,ALMERA_EL_1.2,2017,279900,บาท,4642 บาท /เดือน,50169,Automatic
333,Honda,MOBILIO_V_1.5,2019,486900,บาท,8075 บาท /เดือน,63216,Automatic
334,MG,MG3_X_1.5,2016,251900,บาท,4178 บาท /เดือน,124395,Automatic
335,Mazda,CX-5_C_2.0,2019,726900,บาท,12056 บาท /เดือน,101577,Automatic
336,Mitsubishi,TRITON_DOUBLE_CAB_GT_PLUS_2.4,2019,597900,บาท,9916 บาท /เดือน,107111,Automatic
337,Ford,RANGER_OPEN_CAB_HI-RIDER_WILDTRAK_2.2,2013,317900,บาท,5272 บาท /เดือน,148199,เกียร์ธรรมดา
338,Honda,HR-V_EL_1.8,2015,582900,บาท,9667 บาท /เดือน,109128,Automatic
339,Honda,BR-V_SV_1.5,2017,486900,บาท,8075 บาท /เดือน,130961,Automatic
340,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2019,424900,บาท,7047 บาท /เดือน,18424,Automatic
341,Mitsubishi,ATTRAGE_GLX_1.2,2019,308900,บาท,5123 บาท /เดือน,40948,Automatic
342,Honda,CIVIC_EL_1.8,2019,734900,บาท,12188 บาท /เดือน,106735,Automatic
343,Ford,RANGER_OPEN_CAB_HI-RIDER_XLT_2.2,2016,398900,บาท,6616 บาท /เดือน,94655,เกียร์ธรรมดา
344,Mazda,2_C_SPORTS_1.3,2021,466900,บาท,7744 บาท /เดือน,12578,Automatic
345,Honda,CITY_V_1.5,2017,436900,บาท,7246 บาท /เดือน,60831,Automatic
346,Honda,CITY_RS_1.0,2020,591900,บาท,9817 บาท /เดือน,63961,Automatic
347,Mazda,2_XD_HIGH_PLUS_L_1.5,2017,467900,บาท,7760 บาท /เดือน,37569,Automatic
348,Mazda,2_HIGH_CONNECT_1.3,2019,420900,บาท,6981 บาท /เดือน,59161,Automatic
349,Honda,CITY_S_1.5,2018,416900,บาท,6914 บาท /เดือน,121116,Automatic
350,Honda,CITY_S_1.5,2018,416900,บาท,6914 บาท /เดือน,113300,Automatic
351,Toyota,YARIS_E_1.2,2014,309900,บาท,5140 บาท /เดือน,136356,Automatic
352,Nissan,ALMERA_E_SPORTECH_1.2,2018,306900,บาท,5090 บาท /เดือน,57337,Automatic
353,Mazda,3_SP_SPORTS_2.0,2019,698900,บาท,11591 บาท /เดือน,69711,Automatic
354,Mazda,3_S_SPORTS_2.0,2017,547900,บาท,9087 บาท /เดือน,162276,Automatic
355,MG,MG3_XROSS_X_1.5,2015,255900,บาท,4244 บาท /เดือน,104904,Automatic
356,Mazda,2_SPORTS_HIGH_PLUS_1.3,2019,447900,บาท,7428 บาท /เดือน,21505,Automatic
357,Nissan,SYLPHY_V_1.6,2013,290900,บาท,4825 บาท /เดือน,82102,Automatic
358,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2019,421900,บาท,6997 บาท /เดือน,39806,Automatic
359,Honda,CIVIC_EL_1.8,2016,626900,บาท,10397 บาท /เดือน,161041,Automatic
360,Mazda,3_S_SPORTS_2.0,2014,422900,บาท,7014 บาท /เดือน,137749,Automatic
361,Honda,CITY_V_1.5,2017,436900,บาท,7246 บาท /เดือน,98997,Automatic
362,Suzuki,SWIFT_GLX_1.2,2013,279900,บาท,4642 บาท /เดือน,103708,Automatic
363,Honda,CIVIC_TURBO_RS_1.5,2019,869900,บาท,14427 บาท /เดือน,78156,Automatic
364,Honda,CIVIC_EL_1.8,2019,734900,บาท,12188 บาท /เดือน,105722,Automatic
365,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2019,421900,บาท,6997 บาท /เดือน,54754,Automatic
366,Suzuki,SWIFT_GL_1.2,2013,269900,บาท,4476 บาท /เดือน,153133,Automatic
367,Honda,CITY_SV_1.5,2017,480900,บาท,7976 บาท /เดือน,129388,Automatic
368,Toyota,SIENTA_V_1.5,2016,508900,บาท,8440 บาท /เดือน,118058,Automatic
369,MG,ZS_D_1.5,2018,412900,บาท,6848 บาท /เดือน,144232,Automatic
370,Mitsubishi,MIRAGE_GLX_1.2,2017,277900,บาท,4609 บาท /เดือน,143637,Automatic
371,Honda,CIVIC_TURBO_RS_1.5,2019,867900,บาท,14394 บาท /เดือน,61561,Automatic
372,Honda,CITY_S_1.5,2019,436900,บาท,7246 บาท /เดือน,118111,Automatic
373,Nissan,ALMERA_E_SPORTECH_1.2,2019,344900,บาท,5720 บาท /เดือน,106147,Automatic
374,Nissan,ALMERA_E_SPORTECH_1.2,2019,344900,บาท,5720 บาท /เดือน,21098,Automatic
375,Toyota,YARIS_E_1.2,2016,338900,บาท,5621 บาท /เดือน,115650,Automatic
376,Suzuki,SWIFT_GLX_1.2,2013,279900,บาท,4642 บาท /เดือน,127144,Automatic
377,Suzuki,CELERIO_GL_1.0,2018,259900,บาท,4310 บาท /เดือน,110415,Automatic
378,Nissan,MARCH_E_1.2,2016,262900,บาท,4360 บาท /เดือน,81308,Automatic
379,Mitsubishi,MIRAGE_GLX_1.2,2016,273900,บาท,4543 บาท /เดือน,79760,Automatic
380,Nissan,ALMERA_E_SPORTECH_1.2,2019,344900,บาท,5720 บาท /เดือน,65530,Automatic
381,Nissan,MARCH_E_1.2,2019,327900,บาท,5438 บาท /เดือน,80548,Automatic
382,Honda,CIVIC_EL_1.8,2019,734900,บาท,12188 บาท /เดือน,61152,Automatic
383,Toyota,YARIS_G_1.2,2016,359900,บาท,5969 บาท /เดือน,162507,Automatic
384,Mazda,2_XD_HIGH_PLUS_L_1.5,2017,440900,บาท,7312 บาท /เดือน,86480,Automatic
385,Toyota,YARIS_MID_1.2,2020,453900,บาท,7528 บาท /เดือน,61515,Automatic
386,Mitsubishi,MIRAGE_GLX_1.2,2017,277900,บาท,4609 บาท /เดือน,113815,Automatic
387,Honda,JAZZ_S_1.5,2018,463900,บาท,7694 บาท /เดือน,126270,Automatic
388,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2018,401900,บาท,6666 บาท /เดือน,66111,Automatic
389,Mazda,2_SP_1.3,2020,463900,บาท,7694 บาท /เดือน,66482,Automatic
390,Honda,CITY_RS_1.0,2020,582900,บาท,9667 บาท /เดือน,59977,Automatic
391,Honda,CITY_V+_1.5,2018,469900,บาท,7793 บาท /เดือน,119551,Automatic
392,Honda,CITY_V_1.5,2018,442900,บาท,7345 บาท /เดือน,96075,Automatic
393,Suzuki,CELERIO_GX_1.0,2019,286900,บาท,4758 บาท /เดือน,79759,Automatic
394,Nissan,ALMERA_E_SPORTECH_1.2,2018,334900,บาท,5554 บาท /เดือน,84914,Automatic
395,Mazda,2_SP_SPORTS_(HATCHBACK)_1.3,2020,489900,บาท,8125 บาท /เดือน,42409,Automatic
396,Mitsubishi,MIRAGE_GLX_1.2,2017,277900,บาท,4609 บาท /เดือน,34381,Automatic
397,Mazda,2_HIGH_CONNECT_1.3,2019,418900,บาท,6947 บาท /เดือน,64488,Automatic
398,Honda,JAZZ_V_1.5,2018,487900,บาท,8092 บาท /เดือน,49069,Automatic
399,Mazda,2_S_(LEATHER)_1.3,2020,482900,บาท,8009 บาท /เดือน,24455,Automatic
400,Toyota,SIENTA_V_1.5,2017,527900,บาท,8755 บาท /เดือน,120588,Automatic
401,Suzuki,CIAZ_GL_1.2,2018,297900,บาท,4941 บาท /เดือน,99540,Automatic
402,Mazda,BT-50_PRO_DOUBLE_CAB_HI-RACER_2.2,2014,377900,บาท,6267 บาท /เดือน,137258,Automatic
403,Toyota,CAMRY_G_2.0,2016,458900,บาท,7611 บาท /เดือน,112284,Automatic
404,Subaru,XV_SPORTS_2.0,2015,360900,บาท,5986 บาท /เดือน,127988,Automatic
405,Mitsubishi,PAJERO_SPORT_GT_4WD_3.2,2010,300900,บาท,4990 บาท /เดือน,203035,Automatic
406,Suzuki,CIAZ_GLX_1.2,2015,195900,บาท,3249 บาท /เดือน,195232,Automatic
407,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_2.2,2019,315900,บาท,5239 บาท /เดือน,43109,เกียร์ธรรมดา
408,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2017,360900,บาท,5986 บาท /เดือน,85246,Automatic
409,Mitsubishi,TRITON_DOUBLE_CAB_PLUS_GLS_LIMITED_EDITION_2.4,2018,416900,บาท,6914 บาท /เดือน,40313,Automatic
410,Mitsubishi,TRITON_MEGA_CAB_GLX_2.5,2018,252900,บาท,4194 บาท /เดือน,45119,เกียร์ธรรมดา
411,Nissan,JUKE_V_1.6,2014,254900,บาท,4228 บาท /เดือน,172809,Automatic
412,Mitsubishi,TRITON_MEGA_CAB_GT_PLUS_2.4,2018,442900,บาท,7345 บาท /เดือน,55176,เกียร์ธรรมดา
413,Honda,CR-V_S_2.0,2013,398900,บาท,6616 บาท /เดือน,173527,Automatic
414,MG,HS_PHEV_1.5,2020,682900,บาท,11326 บาท /เดือน,30378,Automatic
415,Isuzu,D-MAX_CAB-4_V-CROSS_MAX_Z-PRESTIGE_4WD_3.0,2018,581900,บาท,9651 บาท /เดือน,54348,Automatic
416,Mitsubishi,PAJERO_SPORT_GT_4WD_2.5,2014,424900,บาท,7047 บาท /เดือน,107799,Automatic
417,Suzuki,SWIFT_GLX_1.2,2013,203900,บาท,3382 บาท /เดือน,113002,Automatic
418,Honda,HR-V_E_LIMITED_1.8,2016,441900,บาท,7329 บาท /เดือน,148737,Automatic
419,Mazda,CX-5_XDL_(4WD)_2.2,2017,526900,บาท,8739 บาท /เดือน,132888,Automatic
420,Honda,HR-V_RS_1.8,2018,562900,บาท,9336 บาท /เดือน,104307,Automatic
421,Suzuki,CIAZ_GL_1.2,2021,359900,บาท,5969 บาท /เดือน,19634,Automatic
422,Nissan,TEANA_200_XL_2.0,2014,368900,บาท,6118 บาท /เดือน,166484,Automatic
423,Ford,EVEREST_TITANIUM+_2.2,2017,685900,บาท,11376 บาท /เดือน,135937,Automatic
424,Toyota,CAMRY_G_2.0,2016,501900,บาท,8324 บาท /เดือน,161945,Automatic
425,Honda,BRIO_AMAZE_V_1.2,2018,261900,บาท,4344 บาท /เดือน,112299,Automatic
426,Honda,CR-V_E_2WD_2.4,2018,642900,บาท,10662 บาท /เดือน,131596,Automatic
427,Mitsubishi,TRITON_MEGA_CAB_GLX_2.5,2018,289900,บาท,4808 บาท /เดือน,79058,เกียร์ธรรมดา
428,Mazda,3_SP_SPORTS_2.0,2014,358900,บาท,5952 บาท /เดือน,134489,Automatic
429,Mitsubishi,TRITON_DOUBLE_CAB_PLUS_GT_2.4,2019,461900,บาท,7661 บาท /เดือน,107573,Automatic
430,Honda,HR-V_RS_1.8,2018,599900,บาท,9949 บาท /เดือน,141474,Automatic
431,Mitsubishi,TRITON_MEGA_CAB_PLUS_GLX_2.4,2017,329900,บาท,5471 บาท /เดือน,157456,เกียร์ธรรมดา
432,Nissan,JUKE_V_1.6,2014,272900,บาท,4526 บาท /เดือน,152763,Automatic
433,Mazda,CX-5_SP_2.0,2018,593900,บาท,9850 บาท /เดือน,83567,Automatic
434,Mazda,CX-5_XD_2.2,2019,680900,บาท,11293 บาท /เดือน,105506,Automatic
435,Ford,RANGER_DOUBLE_CAB_HI-RIDER_WILDTRAK_2.2,2016,479900,บาท,7959 บาท /เดือน,167991,Automatic
436,Mazda,2_XD_HIGH_PLUS_L_1.5,2017,338900,บาท,5621 บาท /เดือน,144342,Automatic
437,Mazda,2_GROOVE_(SEDAN)_1.5,2013,185900,บาท,3083 บาท /เดือน,153451,Automatic
438,Toyota,COROLLA_ALTIS_G_1.6,2018,367900,บาท,6102 บาท /เดือน,139668,Automatic
439,MG,ZS_X_1.5,2018,339900,บาท,5637 บาท /เดือน,137277,Automatic
440,Toyota,COROLLA_ALTIS_G_1.6,2017,358900,บาท,5952 บาท /เดือน,145829,Automatic
