,brand,model,year,price,currency,pay_per_month,kilometers_driven,transmission_type
0,Nissan,TEANA_250_XV_V6_SUNROOF_NAVIGATION_2.5,2010,250900,บาท,4161 บาท /เดือน,250103,Automatic
1,Nissan,TEANA_250_XV_2.5,2011,221900,บาท,3680 บาท /เดือน,265576,Automatic
2,Mitsubishi,MIRAGE_GLS_LIMITED_EDITION_1.2,2013,181900,บาท,3017 บาท /เดือน,146188,Automatic
3,Nissan,SYLPHY_V_1.8,2013,232900,บาท,3863 บาท /เดือน,143250,Automatic
4,Nissan,JUKE_V_1.6,2014,272900,บาท,4526 บาท /เดือน,169729,Automatic
5,Subaru,XV_I-P_2.0,2017,506900,บาท,8407 บาท /เดือน,142766,Automatic
6,Subaru,FORESTER_I-S_ES_(EYE-SIGHT)_2.0,2020,804900,บาท,13349 บาท /เดือน,78647,Automatic
7,Nissan,NOTE_VL_1.2,2017,283900,บาท,4708 บาท /เดือน,152260,Automatic
8,Mazda,CX-5_TURBO_SP_(4WD)_2.5,2019,938900,บาท,15572 บาท /เดือน,77291,Automatic
9,Mazda,3_SP_SPORTS_2.0,2014,435900,บาท,7229 บาท /เดือน,102206,Automatic
10,Mazda,3_SP_SPORTS_2.0,2015,366900,บาท,6085 บาท /เดือน,144970,Automatic
11,Isuzu,D-MAX_SPACECAB_HI-LANDER_Z-PRESTIGE_NAVI_2.5,2014,344900,บาท,5720 บาท /เดือน,107285,Automatic
12,Nissan,JUKE_V_1.6,2014,330900,บาท,5488 บาท /เดือน,160743,Automatic
13,Isuzu,D-MAX_SPACECAB_HI-LANDER_DDI_Z_(VGS)_2.5,2015,384900,บาท,6384 บาท /เดือน,104150,เกียร์ธรรมดา
14,Mazda,3_SP_SPORTS_2.0,2014,435900,บาท,7229 บาท /เดือน,165945,Automatic
15,Mazda,CX-5_TURBO_SP_(4WD)_2.5,2019,1138900,บาท,18889 บาท /เดือน,24085,Automatic
16,Mitsubishi,TRITON_MEGA_CAB_PLUS_GLS_2.4,2017,404900,บาท,6715 บาท /เดือน,75853,เกียร์ธรรมดา
17,Isuzu,D-MAX_CAB-4_HI-LANDER_X-SERIES_Z_2.5,2015,508900,บาท,8440 บาท /เดือน,153278,เกียร์ธรรมดา
18,Toyota,COROLLA_ALTIS_G_1.6,2019,502900,บาท,8341 บาท /เดือน,108869,Automatic
19,Isuzu,D-MAX_BLUE_POWER_CAB-4_HI-LANDER_DDI_Z-PRESTIGE_3.0,2019,630900,บาท,10463 บาท /เดือน,110049,เกียร์ธรรมดา
20,Mitsubishi,XPANDER_GT_1.5,2018,568900,บาท,9435 บาท /เดือน,122056,Automatic
21,MG,ZS_X_1.5,2018,435900,บาท,7229 บาท /เดือน,98543,Automatic
22,Ford,RANGER_DOUBLE_CAB_HI-RIDER_WILDTRAK_2.2,2018,667900,บาท,11077 บาท /เดือน,102122,Automatic
23,Nissan,NP300_NAVARA_KING_CAB_E_CALIBRE_BLACK_EDITION_2.5,2018,422900,บาท,7014 บาท /เดือน,93268,เกียร์ธรรมดา
24,Honda,CITY_V_1.5,2019,471900,บาท,7826 บาท /เดือน,108424,Automatic
25,Mitsubishi,ATTRAGE_GLS_LIMITED_EDITION_1.2,2018,357900,บาท,5936 บาท /เดือน,51736,Automatic
26,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,1043900,บาท,17313 บาท /เดือน,113579,Automatic
27,Honda,MOBILIO_RS_1.5,2018,496900,บาท,8241 บาท /เดือน,102506,Automatic
28,Mitsubishi,PAJERO_SPORT_GT_2.5,2015,533900,บาท,8855 บาท /เดือน,153972,Automatic
29,Nissan,JUKE_V_1.6,2014,326900,บาท,5422 บาท /เดือน,108661,Automatic
30,Mitsubishi,TRITON_DOUBLE_CAB_PLUS_GT_PREMIUM_2.4,2018,573900,บาท,9518 บาท /เดือน,143895,เกียร์ธรรมดา
31,Toyota,HILUX_REVO_SMART_CAB_E_PRERUNNER_2.4,2019,487900,บาท,8092 บาท /เดือน,54979,เกียร์ธรรมดา
32,Mitsubishi,ATTRAGE_GLS_1.2,2018,310900,บาท,5156 บาท /เดือน,96222,Automatic
33,Mitsubishi,MIRAGE_GLX_1.2,2018,300900,บาท,4990 บาท /เดือน,104585,Automatic
34,Ford,EVEREST_LTD_TDCI_4WD_3.0,2009,265900,บาท,4410 บาท /เดือน,274099,Automatic
35,Nissan,JUKE_V_1.6,2015,361900,บาท,6002 บาท /เดือน,127291,Automatic
36,Toyota,VIOS_J_1.5,2018,393900,บาท,6533 บาท /เดือน,135362,Automatic
37,Mitsubishi,XPANDER_GLS_LIMITED_1.5,2018,531900,บาท,8822 บาท /เดือน,106258,Automatic
38,Toyota,CAMRY_G_2.0,2019,903900,บาท,14991 บาท /เดือน,101500,Automatic
39,MG,MG3_V_SUNROOF_1.5,2017,255900,บาท,4244 บาท /เดือน,61986,Automatic
40,Honda,CITY_V+_1.5,2017,440900,บาท,7312 บาท /เดือน,116153,Automatic
41,Toyota,VIOS_E_1.5,2018,403900,บาท,6699 บาท /เดือน,114967,Automatic
42,Nissan,NP300_NAVARA_KING_CAB_S_2.5,2018,341900,บาท,5670 บาท /เดือน,41603,เกียร์ธรรมดา
43,Subaru,FORESTER_I-S_2.0,2019,871900,บาท,14460 บาท /เดือน,82483,Automatic
44,Toyota,YARIS_ATIV_J_1.2,2018,359900,บาท,5969 บาท /เดือน,102605,Automatic
45,Toyota,HILUX_REVO_SMART_CAB_E_PLUS_PRERUNNER_2.4,2017,484900,บาท,8042 บาท /เดือน,133695,Automatic
46,Honda,HR-V_RS_1.8,2019,742900,บาท,12321 บาท /เดือน,79126,Automatic
47,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2WD_2.4,2019,976900,บาท,16202 บาท /เดือน,91051,Automatic
48,Mazda,3_S_2.0,2016,420900,บาท,6981 บาท /เดือน,112555,Automatic
49,Toyota,CAMRY_G_EXTREMO_2.0,2018,779900,บาท,12935 บาท /เดือน,50423,Automatic
50,Honda,MOBILIO_RS_1.5,2019,519900,บาท,8623 บาท /เดือน,80251,Automatic
51,MG,MG3_X_1.5,2016,251900,บาท,4178 บาท /เดือน,77958,Automatic
52,MG,ZS_X_1.5,2019,450900,บาท,7478 บาท /เดือน,103200,Automatic
53,Ford,RANGER_OPEN_CAB_HI-RIDER_XLT_2.2,2014,336900,บาท,5587 บาท /เดือน,152688,เกียร์ธรรมดา
54,Mazda,3_E_2.0,2018,454900,บาท,7545 บาท /เดือน,140058,Automatic
55,Honda,CITY_V+_1.5,2016,425900,บาท,7064 บาท /เดือน,96805,Automatic
56,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2017,514900,บาท,8540 บาท /เดือน,56886,Automatic
57,Toyota,VIOS_J_1.5,2018,393900,บาท,6533 บาท /เดือน,122749,Automatic
58,Toyota,VIOS_E_1.5,2018,403900,บาท,6699 บาท /เดือน,137246,Automatic
59,Toyota,CAMRY_G_2.0,2018,681900,บาท,11309 บาท /เดือน,136630,Automatic
60,Mazda,3_E_2.0,2018,454900,บาท,7545 บาท /เดือน,142911,Automatic
61,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2018,482900,บาท,8009 บาท /เดือน,62960,เกียร์ธรรมดา
62,Honda,BR-V_SV_1.5,2017,466900,บาท,7744 บาท /เดือน,163096,Automatic
63,Mitsubishi,XPANDER_GLS_LIMITED_1.5,2018,531900,บาท,8822 บาท /เดือน,59857,Automatic
64,Mitsubishi,ATTRAGE_GLX_1.2,2019,308900,บาท,5123 บาท /เดือน,84525,Automatic
65,Toyota,SIENTA_V_1.5,2018,528900,บาท,8772 บาท /เดือน,123738,Automatic
66,Subaru,XV_I_2.0,2014,417900,บาท,6931 บาท /เดือน,157276,Automatic
67,Ford,RANGER_OPEN_CAB_HI-RIDER_XLT_2.2,2019,468900,บาท,7777 บาท /เดือน,113726,เกียร์ธรรมดา
68,Isuzu,"D-MAX_CAB-4_HI-LANDER_DDI_Z-PRESTIGE_(VGS,_NAVI)_2.5",2013,433900,บาท,7196 บาท /เดือน,165858,Automatic
69,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_(ABS)_2.2,2018,396900,บาท,6583 บาท /เดือน,59564,เกียร์ธรรมดา
70,Suzuki,SWIFT_GL_1.2,2013,273900,บาท,4543 บาท /เดือน,101465,Automatic
71,Subaru,FORESTER_I-S_ES_(EYE-SIGHT)_2.0,2019,895900,บาท,14859 บาท /เดือน,84056,Automatic
72,Toyota,COROLLA_ALTIS_G_1.6,2019,590900,บาท,9800 บาท /เดือน,92406,Automatic
73,Toyota,VIOS_J_1.5,2016,344900,บาท,5720 บาท /เดือน,162443,Automatic
74,Toyota,HILUX_REVO_SMART_CAB_E_PRERUNNER_2.4,2018,487900,บาท,8092 บาท /เดือน,130332,Automatic
75,Toyota,VIOS_MID_1.5,2019,453900,บาท,7528 บาท /เดือน,46284,Automatic
76,Subaru,FORESTER_I-P_2.0,2016,596900,บาท,9900 บาท /เดือน,135826,Automatic
77,Suzuki,CIAZ_GL_1.2,2022,414900,บาท,6881 บาท /เดือน,18234,Automatic
78,Nissan,JUKE_E_1.6,2014,331900,บาท,5505 บาท /เดือน,105610,Automatic
79,Ford,ECOSPORT_TREND_1.5,2017,338900,บาท,5621 บาท /เดือน,100774,Automatic
80,Mitsubishi,MIRAGE_GLX_1.2,2019,340900,บาท,5654 บาท /เดือน,20272,Automatic
81,Nissan,TEANA_200_XL_NAVI_2.0,2015,495900,บาท,8225 บาท /เดือน,69217,Automatic
82,Ford,ECOSPORT_TITANIUM_1.5,2018,359900,บาท,5969 บาท /เดือน,104166,Automatic
83,Isuzu,D-MAX_DOUBLE_CAB_HI-LANDER_Z_1.9,2017,605900,บาท,10049 บาท /เดือน,122662,เกียร์ธรรมดา
84,MG,MG3_D_1.5,2015,230900,บาท,3829 บาท /เดือน,171783,Automatic
85,Mitsubishi,TRITON_MEGA_CAB_GT_PLUS_2.4,2018,482900,บาท,8009 บาท /เดือน,62328,เกียร์ธรรมดา
86,MG,MG3_XROSS_X_1.5,2015,255900,บาท,4244 บาท /เดือน,98764,Automatic
87,Toyota,VIOS_E_1.5,2018,403900,บาท,6699 บาท /เดือน,128429,Automatic
88,Ford,ECOSPORT_AMBIENTE_1.5,2015,320900,บาท,5322 บาท /เดือน,113768,Automatic
89,Honda,CITY_S_1.5,2019,439900,บาท,7296 บาท /เดือน,107752,Automatic
90,Toyota,CAMRY_G_2.0,2019,921900,บาท,15290 บาท /เดือน,100546,Automatic
91,MG,MG3_X_1.5,2017,265900,บาท,4410 บาท /เดือน,48386,Automatic
92,Honda,JAZZ_V_1.5,2015,427900,บาท,7097 บาท /เดือน,167903,Automatic
93,Ford,RANGER_DOUBLE_CAB_HI-RIDER_WILDTRAK_2.2,2016,547900,บาท,9087 บาท /เดือน,121349,เกียร์ธรรมดา
94,Mitsubishi,TRITON_MEGA_CAB_GT_PLUS_2.4,2018,482900,บาท,8009 บาท /เดือน,78822,เกียร์ธรรมดา
95,Toyota,YARIS_J_ECO_1.2,2014,276900,บาท,4592 บาท /เดือน,102615,Automatic
96,Toyota,CAMRY_G_2.0,2018,908900,บาท,15074 บาท /เดือน,143762,Automatic
97,Honda,CIVIC_EL_1.8,2016,601900,บาท,9983 บาท /เดือน,161522,Automatic
98,Toyota,VIOS_HIGH_1.5,2019,502900,บาท,8341 บาท /เดือน,38323,Automatic
